PartNumber,lengthY,widthX,height,padX,padY,padSpacing,landingX,landingY,landingSpacing,datasheetUrl
XAL4020-XXX,4.3,4.3,2.1,0.82,3.25,1.57,0.98,3.4,2.37,"https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf"
XAL4030-XXX,4.3,4.3,3.1,0.82,3.25,1.57,0.98,3.4,2.37,"https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf"
XAL4040-XXX,4.3,4.3,4.1,0.82,3.25,1.57,0.98,3.4,2.37,"https://www.coilcraft.com/getmedia/6adcb47d-8b55-416c-976e-1e22e0d2848c/xal4000.pdf"
XAL5020-XXX,5.68,5.48,2,1,4.2,2.31,1.18,4.7,3.31,"https://www.coilcraft.com/getmedia/1941eff1-c018-493c-8cd6-d88d2edf5029/xal5020.pdf"
XAL5030-XXX,5.68,5.48,3.1,1,4.2,2.31,1.18,4.7,3.31,"https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf"
XAL5050-XXX,5.68,5.48,5.1,1,4.2,2.31,1.18,4.7,3.31,"https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf"
XAL6020-XXX,6.76,6.56,2.1,1.25,5,2.79,1.43,5.5,4.04,"https://www.coilcraft.com/getmedia/467ff589-8942-4e57-92d0-5bef6e04ce09/xal6020.pdf"
XAL6030-XXX,6.76,6.56,3.1,1.25,5,2.79,1.43,5.5,4.04,"https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf"
XAL6060-XXX,6.76,6.56,6.1,1.25,5,2.79,1.43,5.5,4.04,"https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf"
XAL7020-271,8,8,2.05,1.6,6,3.12,1.78,6.5,4.72,"https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf"
XAL7020-102,8,8,2,1.6,6,3.12,1.78,6.5,4.72,"https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf"
XAL7020-151,8,8,2.05,1.6,6,3.12,1.78,6.5,4.72,"https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf"
XAL7020-152,8,8,2,1.4,6,3.12,1.78,6.5,4.72,"https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf"
XAL7020-331,8,8,2,1.6,6,3.12,1.78,6.5,4.72,"https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf"
XAL7020-122,8,8,2,1.6,6,3.12,1.78,6.5,4.72,"https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf"
XAL7020-222,8,8,2,1.4,6,3.12,1.78,6.5,4.72,"https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf"
XAL7020-471,8,8,2,1.6,6,3.12,1.78,6.5,4.72,"https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf"
XAL7020-681,8,8,2,1.6,6,3.12,1.78,6.5,4.72,"https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf"
XAL7030-161,8,8,3.1,1.6,6,3.12,1.78,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7030-272,8,8,3.1,1.6,6,3.12,1.78,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7030-102,8,8,3.1,1.6,6,3.12,1.78,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7030-472,8,8,3.1,1.4,6,3.12,1.58,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7030-601,8,8,3.1,1.6,6,3.12,1.78,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7030-682,8,8,3.1,1.4,6,3.12,1.58,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7030-152,8,8,3.1,1.6,6,3.12,1.78,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7030-222,8,8,3.1,1.6,6,3.12,1.78,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7030-301,8,8,3.1,1.6,6,3.12,1.78,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7030-822,8,8,3.1,1.4,6,3.12,1.58,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7030-103,8,8,3.1,1.4,6,3.12,1.58,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7030-332,8,8,3.1,1.6,6,3.12,1.78,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7030-562,8,8,3.1,1.4,6,3.12,1.58,6.5,2.94,"https://www.coilcraft.com/getmedia/0d05a05e-d55d-4a0c-911d-46bd73686633/xal7030.pdf"
XAL7050-XXX,8,7.7,5,1.45,6,3.37,1.92,6.5,4.82,"https://www.coilcraft.com/getmedia/13a991b3-4273-4be3-81ba-f3cf372b4691/xal7050.pdf"
XAL7070-XXX,8,7.7,7,1.45,6,3.37,1.92,6.5,4.82,"https://www.coilcraft.com/getmedia/1ba55433-bcc8-4838-9b21-382f497e12e0/xal7070.pdf"
XAL8050-223,8.8,8.3,5,1.6,6.5,3.56,1.78,7,5.16,"https://www.coilcraft.com/getmedia/5885ede8-ea4f-464a-9dcb-18dbf143a845/xal8050.pdf"
XAL8080-XXX,8.8,8.3,8,1.6,6.5,3.56,1.78,7,5.16,"https://www.coilcraft.com/getmedia/345e50d6-a804-4ecb-9a92-5185221faf3e/xal8080.pdf"
