Series,height,width,thickness,pad gap,pad x,pad y
MWSA0412S,4.2, 4.4, 1.0, 1.5, 2.2, 2.5
MWSA0402S,4.2, 4.4, 1.8, 1.5, 2.2, 2.5
MWSA0518S,5.2, 5.4, 1.6, 1.9, 2.2, 2.5
MWSA0503S,5.2, 5.4, 2.8, 1.9, 2.2, 2.5
MWSA0615S,6.6, 7.0, 1.3, 2.35, 3.7, 3.5
MWSA0618S,6.6, 7.0, 1.6, 2.35, 3.7, 3.5
MWSA0602S,6.6, 7.0, 1.8, 2.35, 3.7, 3.5
MWSA0624S,6.6, 7.0, 2.2, 2.35, 3.7, 3.5
MWSA0603S,6.6, 7.0, 2.8, 2.35, 3.7, 3.5
MWSA0604S,6.6, 7.0, 3.8, 2.35, 3.7, 3.5
MWSA0605S,6.6, 7.0, 4.8, 2.35, 3.7, 3.5
MWSA0804S,8.8, 8.2, 3.8, 2.75, 4.0, 5.5
MWSA1003S,10.0, 11.5, 2.8, 4.1, 5.4, 4.1
MWSA1004S,10.0, 11.0, 3.8, 4.1, 5.4, 4.1
MWSA1005S,10.0, 11.5, 4.8, 4.1, 5.4, 4.1
MWSA1204S,12.8, 13.45, 4.0, 3.25, 8.0, 5.5
MWSA1205S,12.6, 13.45, 4.8, 3.25, 8.0, 5.5
MWSA1206S,12.6, 13.45, 5.8, 3.25, 8.0, 5.5
MWSA1265S,12.6, 13.45, 6.5, 3.25, 8.0, 5.5
MWSA1707S,17.15, 17.15, 6.7, 3.50, 11.2, 12.8
MWSA2213S,23.5, 22.0, 12.6, 5.75, 12.5, 19.6
