PartNumber,widthX,lengthY,height,padY,padX,padGap,landingGap,landingX,landingY
SWPA252010S,2.5,2.0,1.0,1.5,0.80,0.80,0.8,0.85,2
SWPA252012S,2.5,2.0,1.2,1.5,0.80,0.80,0.8,0.85,2
SWPA3010S,3.0,3.0,1.0,2.5,0.75,1.5,1.5,0.8,2.7
SWPA3012S,3.0,3.0,1.2,2.5,0.75,1.5,1.5,0.8,2.7
SWPA3015S,3.0,3.0,1.5,2.5,0.75,1.5,1.5,0.8,2.7
SWPA4010S,4.0,4.0,1.0,3.3,0.95,2.1,1.9,1.1,3.7
SWPA4012S,4.0,4.0,1.2,3.3,0.95,2.1,1.9,1.1,3.7
SWPA4018S,4.0,4.0,1.8,3.3,0.95,2.1,1.9,1.1,3.7
SWPA4020S,4.0,4.0,2.0,3.3,0.95,2.1,1.9,1.1,3.7
SWPA4026S,4.0,4.0,2.6,3.3,0.95,2.1,1.9,1.1,3.7
SWPA4030S,4.0,4.0,3.0,3.3,0.95,2.1,1.9,1.1,3.7
SWPA5012S,5.0,5.0,1.2,4.0,1.25,2.5,2.1,1.5,4.4
SWPA5020S,5.0,5.0,2.0,4.0,1.25,2.5,2.3,1.4,4.2
SWPA5040S,5.0,5.0,4.0,4.0,1.25,2.5,2.3,1.4,4.2
SWPA6020S,6.0,6.0,2.0,4.9,1.55,2.9,2.8,1.7,5.7
SWPA6028S,6.0,6.0,2.8,4.9,1.55,2.9,2.8,1.7,5.7
SWPA6040S,6.0,6.0,4.0,4.9,1.55,2.9,2.8,1.7,5.7
SWPA6045S,6.0,6.0,4.5,4.9,1.55,2.9,2.8,1.7,5.7
SWPA8040S,8.0,8.0,4.2,6.3,2.00,4.0,3.8,2.2,7.5
